公司名称,股票代码,处罚年份,舞弊类型,公告日期,公告年份
上海国之杰投资发展有限公司,600816,2016,推迟披露、其他,2022/6/10,2022
上海复旦复华科技股份有限公司,600624,2016,虚假记载(误导性陈述)、重大遗漏,2024/3/20,2024
上海实业发展股份有限公司,600748,2016,虚构利润、其他,2024/4/11,2024
东旭集团有限公司,40,2016,虚构利润、虚列资产、虚假记载(误导性陈述)、重大遗漏、其他,2025/3/29,2025
东旭集团有限公司,2486,2016,虚构利润、虚列资产、虚假记载(误导性陈述)、重大遗漏、其他,2025/3/29,2025
东莞市众旺昕股权投资合伙企业(有限合伙),603111,2016,虚构利润,2020/12/31,2020
中安科股份有限公司,600654,2016,虚假记载(误导性陈述)、其他,2022/3/9,2022
中路股份有限公司,600818,2016,虚假记载(误导性陈述)、其他,2024/1/19,2024
九江嘉柏实业有限公司,2164,2016,虚构利润、虚假记载(误导性陈述)、其他,2022/3/15,2022
云南九天投资控股集团有限公司,600093,2016,虚构利润、虚假记载(误导性陈述)、重大遗漏,2022/4/20,2022
人福医药集团股份公司,600079,2016,推迟披露、其他; 推迟披露、其他; 推迟披露、占用公司资产、其他; 推迟披露、占用公司资产、其他; 推迟披露、占用公司资产、其他; 推迟披露、占用公司资产、其他; 推迟披露、占用公司资产、其他; 虚假记载(误导性陈述)、推迟披露、一般会计处理不当、其他,2024/10/23,2024
兴源环境科技股份有限公司,300266,2016,虚假记载(误导性陈述)、一般会计处理不当、其他,2023/10/31,2023
北京信威科技集团股份有限公司,600485,2016,虚假记载(误导性陈述)、其他,2024/3/12,2024
北京弘高创意建筑设计股份有限公司,2504,2016,虚假记载(误导性陈述)、其他,2024/6/7,2024
华民贸易有限公司,2473,2016,虚假记载(误导性陈述)、其他,2020/12/16,2020
南京红太阳股份有限公司,525,2016,虚假记载(误导性陈述)、一般会计处理不当,2022/3/15,2022
和信会计师事务所(特殊普通合伙),300001,2016,一般会计处理不当、其他,2022/4/29,2022
国创高科实业集团有限公司,2377,2016,占用公司资产、其他,2021/2/10,2021
大信会计师事务所(特殊普通合伙),300237,2016,虚假记载(误导性陈述)、其他,2023/2/27,2023
大唐高鸿网络股份有限公司,851,2016,虚构利润、虚假记载(误导性陈述),2025/8/9,2025
太原重型机械集团有限公司,600169,2016,重大遗漏、占用公司资产、其他,2023/12/14,2023
太原重工股份有限公司,600169,2016,重大遗漏、占用公司资产、其他,2023/12/14,2023
宁波东力股份有限公司,2164,2016,虚构利润、虚假记载(误导性陈述)、其他,2022/3/15,2022
宁波圣莱达电器股份有限公司,2473,2016,虚假记载(误导性陈述)、其他,2020/12/16,2020
安信信托股份有限公司,600816,2016,推迟披露、其他,2022/6/10,2022
山东美晨生态环境股份有限公司,300237,2016,虚构利润、虚假记载(误导性陈述)、其他,2022/12/7,2022
山东英达钢结构有限公司,760,2016,虚假记载(误导性陈述)、占用公司资产,2021/7/16,2021
山东龙力生物科技股份有限公司,2604,2016,虚列资产、虚假记载(误导性陈述)、重大遗漏,2021/1/13,2021
常州誉华企业管理有限公司,760,2016,虚假记载(误导性陈述)、占用公司资产,2021/7/16,2021
广东柏堡龙股份有限公司,2776,2016,虚构利润、虚假记载(误导性陈述),2021/10/30,2021
广州市香雪制药股份有限公司,300147,2016,推迟披露、其他,2025/8/16,2025
广誉远中药股份有限公司,600771,2016,虚构利润、其他,2024/3/26,2024
延安必康制药股份有限公司,2411,2016,虚假记载(误导性陈述)、重大遗漏、占用公司资产,2020/8/18,2020
恒泰艾普集团股份有限公司,300157,2016,一般会计处理不当,2021/5/25,2021
斯太尔动力股份有限公司,760,2016,虚假记载(误导性陈述)、占用公司资产,2021/7/16,2021
新海宜科技集团股份有限公司,2089,2016,虚构利润、虚假记载(误导性陈述)、其他,2024/2/6,2024
新疆万源汇金投资控股有限公司,600145,2016,重大遗漏、占用公司资产、违规担保、其他,2022/4/27,2022
新疆亿路万源实业控股股份有限公司,600145,2016,重大遗漏、占用公司资产、违规担保、其他,2022/4/27,2022
新疆同济堂健康产业股份有限公司,600090,2016,虚构利润、占用公司资产,2022/4/12,2022
新疆机械研究院股份有限公司,300159,2016,虚构利润、虚列资产、虚假记载(误导性陈述)、其他,2023/1/19,2023
昆明川金诺化工股份有限公司,300505,2016,虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述)、重大遗漏、一般会计处理不当; 虚假记载(误导性陈述)、重大遗漏、一般会计处理不当; 一般会计处理不当、其他,2022/9/24,2022
易见供应链管理股份有限公司,600093,2016,虚构利润、虚假记载(误导性陈述)、重大遗漏,2022/4/20,2022
星美国际影院有限公司,2473,2016,虚假记载(误导性陈述)、其他,2020/12/16,2020
武汉当代科技产业集团股份有限公司,600079,2016,推迟披露、其他; 推迟披露、其他; 推迟披露、占用公司资产、其他; 推迟披露、占用公司资产、其他; 推迟披露、占用公司资产、其他; 推迟披露、占用公司资产、其他; 推迟披露、占用公司资产、其他; 虚假记载(误导性陈述)、推迟披露、一般会计处理不当、其他,2024/10/23,2024
江苏中利集团股份有限公司,2309,2016,虚构利润、其他,2024/5/14,2024
江苏汇鸿国际集团股份有限公司,600981,2016,虚假记载(误导性陈述)、一般会计处理不当、其他,2022/6/21,2022
江苏舜天股份有限公司,600287,2016,虚构利润、虚假记载(误导性陈述)、其他,2023/7/3,2023
江西奇信集团股份有限公司,2781,2016,虚假记载(误导性陈述),2023/4/20,2023
沈阳机床股份有限公司,410,2016,一般会计处理不当; 一般会计处理不当; 一般会计处理不当; 一般会计处理不当、其他; 一般会计处理不当、其他; 一般会计处理不当、其他; 一般会计处理不当、其他; 其他,2021/1/23,2021
河南新野纺织股份有限公司,2087,2016,虚构利润、虚列资产、其他,2024/4/28,2024
海南众合恒峰一号投资管理合伙企业(有限合伙),600818,2016,虚假记载(误导性陈述)、其他,2024/1/19,2024
海南海药股份有限公司,566,2016,一般会计处理不当; 一般会计处理不当; 一般会计处理不当; 一般会计处理不当; 重大遗漏,2020/11/10,2020
海洋国际旅行社有限责任公司,600090,2016,推迟披露、占用公司资产、其他,2022/4/27,2022
深圳富裕控股有限公司,2164,2016,虚构利润、虚假记载(误导性陈述)、其他,2022/3/15,2022
深圳市中恒汇志投资有限公司,600654,2016,虚假记载(误导性陈述)、其他,2022/3/9,2022
深圳市年富供应链有限公司,2164,2016,虚构利润、虚假记载(误导性陈述)、其他,2022/3/15,2022
深圳市易楚投资管理有限公司,600145,2016,重大遗漏、占用公司资产、违规担保、其他,2022/4/27,2022
深圳市特发信息股份有限公司,70,2016,虚构利润、虚假记载(误导性陈述)、其他,2024/5/13,2024
湖北凯乐科技股份有限公司,600260,2016,虚构利润、其他; 虚构利润、虚假记载(误导性陈述)、其他; 虚构利润、虚假记载(误导性陈述)、其他; 虚构利润、虚假记载(误导性陈述)、其他; 虚构利润、虚假记载(误导性陈述)、其他; 虚假记载(误导性陈述)、其他; 重大遗漏、其他; 推迟披露、违规担保、其他,2023/9/4,2023
湖北同济堂投资控股有限公司,600090,2016,推迟披露、占用公司资产、其他,2022/4/27,2022
湖北同济堂科技有限公司,600090,2016,推迟披露、占用公司资产、其他,2022/4/27,2022
湖北国创高新材料股份有限公司,2377,2016,占用公司资产、其他,2021/2/10,2021
福建三木集团股份有限公司,632,2016,虚假记载(误导性陈述),2023/12/31,2023
福建省永安林业(集团)股份有限公司,663,2016,虚构利润,2020/5/8,2020
福建省爱迪尔珠宝实业股份有限公司,2740,2016,重大遗漏,2022/2/14,2022
美尚生态景观股份有限公司,300495,2016,虚构利润、虚假记载(误导性陈述)、推迟披露、重大遗漏、占用公司资产、其他,2023/7/14,2023
苏亚金诚会计师事务所(特殊普通合伙),600287,2016,虚假记载(误导性陈述)、其他,2025/3/5,2025
苏州天沃科技股份有限公司,2564,2016,虚假记载(误导性陈述)、重大遗漏、其他,2024/4/26,2024
西藏发展股份有限公司,752,2016,推迟披露、重大遗漏、其他,2024/12/10,2024
西藏盛邦控股有限公司,752,2016,推迟披露、其他; 虚假记载(误导性陈述)、推迟披露、重大遗漏、占用公司资产、其他; 虚假记载(误导性陈述)、推迟披露、重大遗漏、占用公司资产、其他; 虚假记载(误导性陈述)、推迟披露、重大遗漏、违规担保、其他; 重大遗漏、占用公司资产、其他; 推迟披露、占用公司资产、其他; 推迟披露、重大遗漏、占用公司资产、其他; 推迟披露、重大遗漏、其他; 其他,2025/1/22,2025
诺贝丰(中国)农业有限公司,2470,2016,虚构利润、虚假记载(误导性陈述)、其他,2022/8/5,2022
贵州益佰制药股份有限公司,600594,2016,推迟披露、一般会计处理不当、未缴或少缴税款(欠税),2021/6/9,2021
赣州森昕股权投资合伙企业(有限合伙),603111,2016,虚构利润,2020/12/31,2020
郑州华晶金刚石股份有限公司,300064,2016,推迟披露、占用公司资产、其他,2021/8/16,2021
金正大生态工程集团股份有限公司,2470,2016,虚构利润、虚假记载(误导性陈述),2022/1/20,2022
陕西航天动力高科技股份有限公司,600343,2016,虚构利润、其他,2024/4/3,2024
鹏博士电信传媒集团股份有限公司,600804,2016,虚列资产、虚假记载(误导性陈述),2024/3/29,2024
三胞集团有限公司,600122,2017,虚构利润、其他,2023/4/19,2023
上海中路(集团)有限公司,600818,2017,重大遗漏、其他,2024/1/19,2024
上海和鹰实业发展有限公司,600525,2017,虚构利润、虚假记载(误导性陈述)、其他,2020/12/23,2020
上海国之杰投资发展有限公司,600816,2017,推迟披露、其他,2022/6/10,2022
上海复旦复华科技股份有限公司,600624,2017,虚假记载(误导性陈述)、重大遗漏,2024/3/20,2024
上海实业发展股份有限公司,600748,2017,虚构利润、虚假记载(误导性陈述)、其他,2024/4/11,2024
上海巴安水务股份有限公司,300262,2017,其他; 推迟披露、一般会计处理不当; 一般会计处理不当; 虚假记载(误导性陈述)、重大遗漏、一般会计处理不当; 擅自改变资金用途,2022/2/15,2022
上海王信投资有限公司,600525,2017,虚构利润、虚假记载(误导性陈述)、其他,2020/12/23,2020
上海贵酒股份有限公司,600696,2017,一般会计处理不当、其他,2024/2/20,2024
东旭集团有限公司,40,2017,虚构利润、虚列资产、虚假记载(误导性陈述)、重大遗漏、欺诈上市、其他,2025/3/29,2025
东旭集团有限公司,2486,2017,虚构利润、虚列资产、虚假记载(误导性陈述)、重大遗漏、欺诈上市、其他,2025/3/29,2025
东莞勤上光电股份有限公司,2638,2017,重大遗漏、其他,2022/1/6,2022
